,,,,
,,,,
,,,,
№,Критерий оценки,Позитивное поведение (примеры),Негативное поведение (примеры),Оценка (Да/Нет)
1,Ставит четкие и измеримые цели команде,"Формулирует KPI так, что каждый сотрудник понимает свою роль в достижении результата (""К концу квартала увеличим продажи кредитов на 15%"")","Дает размытые указания (""Надо больше продавать"")",
2,Контролирует выполнение задач без микроменеджмента,"Регулярно проверяет прогресс, но не вмешивается без необходимости","Постоянно требует отчеты, демотивируя команду",
3,Мотивирует команду на достижение высоких результатов,"Использует бонусы, признание заслуг (""Отличная работа, ваш вклад помог выполнить план"")","Не замечает успехи сотрудников, акцентирует только на ошибках",
4,Быстро реагирует на изменения и корректирует стратегию,При падении продаж оперативно вводит новые акции,"Игнорирует рыночные тренды, действует по шаблону",
5,"Эффективно распределяет ресурсы (время, бюджет, персонал)",Оптимизирует график работы сотрудников под пиковые нагрузки,"Не учитывает загрузку, из-за чего страдает качество работы",
6,Создает систему мониторинга и отчетности,Внедряет CRM для отслеживания продаж,"Работает ""на ощупь"", данные теряются",
7,Лично демонстрирует высокую рабочую этику,"Приходит первым, остается на сложные задачи","Часто отсутствует, делегирует даже критичные задачи",
8,Умеет расставлять приоритеты,"Фокусируется на ключевых показателях (например, NPS клиентов)",Тратит время на второстепенные задачи,
9,Готов брать ответственность за неудачи,"Говорит: ""Это моя ошибка в планировании, исправим""",Обвиняет команду или внешние обстоятельства,
10,Поощряет инициативу сотрудников,"Поддерживает идеи подчиненных (""Предложение по улучшению процесса – отлично!"")","Пресекает любые инициативы (""Работайте по инструкции"")",
11,Обеспечивает обратную связь по результатам,Проводит еженедельные разборы ошибок и успехов,Дает фидбек раз в полгода формально,
12,Создает атмосферу доверия в команде,"Открыто обсуждает проблемы, поощряет диалог",Создает культуру доносов и страха,
13,Развивает подчиненных,Составляет индивидуальные планы развития,Не интересуется карьерным ростом сотрудников,
14,Эффективно разрешает конфликты,"Медиирует споры, находит компромиссы",Игнорирует напряженность в коллективе,
15,Адаптирует стиль управления под ситуацию,"В кризис берет жесткий контроль, в стабильности – делегирует","Всегда действует одинаково, не гибко",
16,Следит за вовлеченностью команды,"Проводит опросы удовлетворенности, корректирует подход",Не замечает выгорание сотрудников,
