,,,,
,,,,
,,,,
"Компетенция: ""Управление исполнением (Drive for Results) и создание эффективной команды""",,,,
,,,,
№,Критерий оценки,Позитивные индикаторы,Негативные индикаторы,Оценка (Да/Нет)
1,Я ставлю четкие цели команде,Я использую SMART-критерии,Я даю размытые указания,
2,Я контролирую выполнение задач без излишнего давления,"Я проверяю прогресс, но не требую отчеты каждые 5 минут","Я либо слишком жестко контролирую, либо пускаю на самотек",
3,Я мотивирую команду,"Я отмечаю успехи, предлагаю бонусы","Я редко хвалю, фокусируюсь на ошибках",
4,Я адаптирую планы при изменении условий,Я быстро корректирую стратегию,"Я действую по шаблону, даже если он не работает",
5,Я эффективно распределяю ресурсы,Я учитываю загрузку сотрудников,Я даю задачи без учета возможностей команды,
6,Я использую данные для решений,Я анализирую отчеты перед действиями,Я полагаюсь на интуицию,
7,Я лично вовлечен в работу,Я показываю пример своим отношением,Я делегирую даже критичные задачи,
8,Я расставляю приоритеты,Я фокусируюсь на главных KPI,"Я ""распыляюсь"" на второстепенное",
9,Я беру ответственность за неудачи,"Я говорю: ""Это моя ошибка""",Я обвиняю обстоятельства или команду,
10,Я поощряю инициативу,Я поддерживаю новые идеи,Я пресекаю предложения сотрудников,
11,Я даю обратную связь регулярно,Я провожу разборы ошибок и успехов,Я делаю это редко и формально,
12,Я создаю доверительную атмосферу,Я открыт к диалогу,В коллективе есть напряжение,
13,Я развиваю подчиненных,Я составляю планы развития,Я не интересуюсь их ростом,
14,Я разрешаю конфликты,Я медиирую споры,Я избегаю конфликтных ситуаций,
15,Я адаптирую стиль управления,"В кризис я жестче, в стабильности – гибкий",Я всегда веду себя одинаково,
16,Я слежу за вовлеченностью команды,"Я провожу опросы, корректирую подход",Я не замечаю выгорание,
17,Я достигаю плановых показателей,Мой отдел стабильно выполняет KPI,Частые срывы сроков,
18,Я управляю рисками,"У меня есть ""план Б"" на случай проблем",Я действую без анализа последствий,
19,Я балансирую между давлением и поддержкой,"Я помогаю в стрессе, но требую результат","Я либо слишком мягкий, либо давящий",
20,Я уважаю команду,"Я благодарю, обращаюсь вежливо","Я допускаю грубость, игнорирую мнение",
,,,,
,,,,
"Компетенция: ""Развитие других (Developing Talent)""",,,,
,,,,
№,Критерий оценки,Позитивные индикаторы,Негативные индикаторы,Оценка (Да/Нет)
1,Я выявляю сильные стороны своей команды,Я провожу индивидуальные беседы,"Я не знаю, в чем силен каждый сотрудник",
2,Я создаю ИПР для подчиненных,У каждого есть план развития,Я формально подхожу к этому вопросу,
3,Я даю регулярную обратную связь,Раз в месяц обсуждаю прогресс,Только во время аттестации,
4,Я делегирую задачи для роста,Даю сложные задания перспективным сотрудникам,Держу ключевые задачи у себя,
5,Я поощряю наставничество,Создаю менторские пары,Не поддерживаю обмен опытом,
6,Я инвестирую в обучение команды,"Оплачиваю курсы, тренинги","Считаю, что это их личное дело",
7,Я знаю карьерные цели сотрудников,Регулярно обсуждаю их амбиции,Не интересуюсь,
8,Я ротирую кадры для развития,Перевожу сотрудников между отделами,Боюсь нарушить текущие процессы,
9,Я даю возможность проявить себя,Позволяю презентовать идеи руководству,"Не выпускаю сотрудников ""из тени""",
10,Я связываю развитие с бизнес-целями,"""Освоив этот навык, ты поможешь отделу""","Не объясняю, зачем нужно расти",
11,Я отслеживаю прогресс по ИПР,Провожу check-in каждые 3 месяца,Забываю о планах развития,
12,"Я хвалю за усилия, а не только за результат","""Вижу, как ты стараешься""","Ценю только готовых ""звезд""",
13,"Я вкладываюсь в ""темных лошадок""","Развиваю мотивированных, но неопытных",Вкладываюсь только в топ-перформеров,
14,Я готовлю кадровый резерв,У меня есть преемники,Боюсь конкуренции,
15,Я использую разные методы обучения,"Коучинг, стажировки, shadowing",Только стандартные тренинги,
16,Я открыто говорю о карьерных перспективах,"""Если выполнишь цели, будет повышение""",Избегаю таких тем,
17,Я помогаю преодолеть стагнацию,"""Давай разберем, как выйти на новый уровень""","Не замечаю ""застоя""",
18,Я развиваю лидеров в команде,Даю возможность руководить проектами,Не доверяю управленческие задачи,
19,Я подаю пример своим развитием,Сам постоянно учусь,"Говорю: ""Мне нечему учиться""",
20,Я создаю среду для роста,"Команда знает, что развитие поощряется",Сотрудники не видят перспектив,
,,,,
"Компетенция: ""Принятие решений (Decision Quality)""",,,,
,,,,
№,Критерий оценки,Позитивные индикаторы,Негативные индикаторы,Оценка (Да/Нет)
1,Я собираю достаточно данных перед решением,"Я анализирую отчеты, консультируюсь",Действую наобум,
2,"Я четко определяю, что делает решение успешным","""Цель – сократить время обработки заявок на 20%""","Не понимаю, как измерить успех",
3,Я оцениваю риски,"Провожу анализ ""что, если...""",Игнорирую потенциальные проблемы,
4,Я привлекаю нужных людей для консультаций,"Обсуждаю с юристами, финансами и командой",Принимаю решения в одиночку,
5,Я балансирую скорость и качество,"В срочных случаях – быстро, в важных – тщательно","Всегда либо медлю, либо тороплюсь",
6,Я различаю стратегические и тактические решения,Инвестиции vs. выбор поставщика,Трачу время на микрорешения,
7,Я готов изменить решение при новых данных,"Корректирую курс, если информация изменилась",Упрямо держусь первоначального плана,
8,Я объясняю свою логику команде,"""Мы выбрали этот путь, потому что...""","""Просто делайте, как сказано""",
9,Я избегаю предвзятости,"Опираюсь на факты, а не на симпатии","""Мне не нравится вариант, хоть он и логичен""",
10,Я использую лучшие практики,"Изучаю, как решали подобное в других отделах",Изобретаю велосипед,
11,Я рассматриваю альтернативы,Сравниваю несколько вариантов,Выбираю первый попавшийся,
12,"Я умею сказать ""нет""",Отклоняю неэффективные инициативы,Соглашаюсь на все подряд,
13,Я контролирую исполнение решений,Назначаю сроки и ответственных,Забываю о решении после принятия,
14,Я действую в условиях неопределенности,"""Начнем с пилота, потом скорректируем""",Жду 100% ясности,
15,Я думаю о долгосрочных последствиях,"""Как это повлияет на нас через год?""",Фокусируюсь только на сейчас,
16,Я делю сложные решения на этапы,Пилот → анализ → масштабирование,Пытаюсь сделать все сразу,
17,Я беру ответственность за решения,"""Это мой выбор, я отвечаю""",Виню других при неудаче,
18,Я поощряю дискуссии,"""Критикуйте, если видите flaws""",Подавляю инакомыслие,
19,Я учусь на ошибках,"Разбираю провалы, чтобы не повторять","Делаю вид, что все ок",
20,Я сохраняю гибкость,"""Если не сработает – поменяем тактику""",Цепляюсь за неработающий вариант,
,,,,
,,,,
"Компетенция: ""Лидерство и влияние (Leadership & Influence)""",,,,
,,,,
№,Критерий оценки,Позитивные индикаторы,Негативные индикаторы,Оценка (Да/Нет)
1,Я четко формулирую видение для команды,У сотрудников есть понимание общих целей,Команда не понимает стратегических задач,
2,Я веду за собой личным примером,Сотрудники перенимают мои рабочие привычки,"Требую того, чего не делаю сам",
3,Я адаптирую стиль лидерства под ситуацию,"В кризисе - директивно, в инновациях - демократично",Использую один подход во всех ситуациях,
4,Я создаю культуру доверия и открытости,Сотрудники не боятся высказывать мнение,В коллективе есть страх ошибиться,
5,Я эффективно влияю на решения руководства,Мои предложения учитываются на уровне компании,Мои инициативы часто отклоняют,
6,Я развиваю лидеров в своей команде,Подчиненные растут и берут больше ответственности,Все ключевые решения принимаю только я,
7,Я вдохновляю команду на достижения,Сотрудники готовы на сверхусилия ради общих целей,"Команда работает ""от звонка до звонка""",
8,Я создаю сеть влияния в организации,Имею союзников в разных департаментах,Действую изолированно,
9,Я эффективно разрешаю конфликты,"Нахожу решения, устраивающие все стороны",Конфликты затягиваются или усугубляются,
10,Я принимаю трудные решения,Беру ответственность за непопулярные меры,Избегаю сложных решений,
11,Я поддерживаю баланс между результатами и людьми,"Достигаю целей, сохраняя хороший климат в команде","Жертвую либо результатами, либо отношениями",
12,Я создаю возможности для роста подчиненных,Активно продвигаю талантливых сотрудников,Удерживаю сильных специалистов на местах,
13,Я демонстрирую эмоциональный интеллект,Чувствую настроение команды и адаптирую подход,Не замечаю эмоциональное состояние сотрудников,
14,Я эффективно коммуницирую изменения,Объясняю причины и выгоды нововведений,Ввожу изменения без объяснений,
15,Я создаю преемственность,Готовлю сотрудников на свою позицию,"Нет никого, кто мог бы меня заменить",
16,Я поддерживаю корпоративную культуру,Мои действия соответствуют ценностям компании,Игнорирую культурные аспекты работы,
17,Я быстро адаптируюсь к изменениям,Вижу возможности в новых условиях,Сопротивляюсь изменениям,
18,Я оставляю позитивное наследие,Сотрудники продолжают использовать мои подходы,После моего ухода команда быстро забывает мои методы,
19,Я развиваю свою лидерскую эффективность,Регулярно работаю над стилем управления,Не анализирую и не улучшаю свои подходы,
20,Я создаю среду для инноваций,Поощряю новые идеи и эксперименты,Подавляю инициативу сотрудников,
